owner,name,definition
Computer System,Hardware,"The physical and electronic components that make up a computer and execute instructions."
Computer System,Software,"Programs and operating systems that provide the instructions hardware follows to perform tasks."
Hardware,Central Processing Unit,"The core processor that interprets instructions, performs arithmetic and logic operations, and manages data movement."
Hardware,Memory Hierarchy,"The layered organization of storage that balances access speed, cost, and capacity from registers to secondary storage."
Hardware,Input Output System,"The collection of components that connect the computer to external devices and manage data transfer."
Central Processing Unit,Control Unit,"The CPU component that directs the operation of the processor by decoding instructions and coordinating internal activities."
Central Processing Unit,Arithmetic Logic Unit,"The CPU section that executes arithmetic calculations and logical comparisons."
Central Processing Unit,Registers,"High-speed storage locations used by the CPU to hold data and intermediate results during instruction execution."
Control Unit,Instruction Decoder,"The circuit that interprets the binary operation code of each instruction and signals which action the CPU should take."
Control Unit,Program Counter,"A register that holds the address of the next instruction to fetch and execute from memory."
Arithmetic Logic Unit,Adder Circuit,"A circuit that performs binary addition and provides sum and carry outputs used in arithmetic operations."
Arithmetic Logic Unit,Comparator Circuit,"A circuit that compares two binary values and determines if one is greater, less, or equal to the other."
Adder Circuit,Full Adder,"A logic circuit that adds three binary inputs—two operands and a carry input—to produce a sum and carry output."
Full Adder,Logic Gates,"Basic digital circuits that implement Boolean operations used to build larger computational components."
Logic Gates,AND Gate,"A gate that outputs true only if all inputs are true, representing logical conjunction."
Logic Gates,OR Gate,"A gate that outputs true if at least one input is true, representing logical disjunction."
Registers,Accumulator,"A register that stores intermediate arithmetic and logic results produced by the ALU."
Registers,Instruction Register,"A register that holds the instruction currently being decoded or executed by the CPU."
Registers,Memory Address Register,"A register that stores the address in memory of the next data or instruction to access."
Memory Hierarchy,Cache Memory,"A small, high-speed memory close to the CPU that stores frequently accessed data to reduce average memory access time."
Memory Hierarchy,Main Memory,"Volatile memory that temporarily stores programs and data currently in use by the CPU."
Memory Hierarchy,Secondary Storage,"Non-volatile storage used to keep data permanently even when power is turned off."
Cache Memory,L1 Cache,"The smallest and fastest level of cache integrated directly into the CPU core."
Cache Memory,L2 Cache,"A larger, slower cache that stores recently used data and instructions not found in L1."
Cache Memory,L3 Cache,"A shared cache among processor cores that provides another layer before main memory access."
L1 Cache,Instruction Cache,"A cache that holds recently fetched instructions to reduce fetch time for repeated code execution."
L1 Cache,Data Cache,"A cache that holds recently used data values to speed up data reads and writes."
Main Memory,RAM Modules,"Modules containing DRAM chips that hold active programs and data temporarily for fast CPU access."
Main Memory,Memory Controller,"A circuit that manages data transfers between the CPU and RAM, handling timing and addressing operations."
RAM Modules,DRAM Chips,"Dynamic memory chips that store bits as electrical charges refreshed periodically to retain data."
DRAM Chips,Memory Cells,"Individual DRAM storage units consisting of one transistor and one capacitor that store a single binary bit."
Memory Cells,Transistor,"A semiconductor device used as a switch to control the flow of electrical signals in a circuit."
Memory Cells,Capacitor,"An electronic component that stores and releases electric charge representing binary information."
Secondary Storage,Hard Disk Drive,"A magnetic storage device that uses rotating platters and heads to store large volumes of data persistently."
Secondary Storage,Solid State Drive,"A storage device that uses flash memory cells instead of moving parts to achieve faster access times."
Hard Disk Drive,Disk Platters,"Circular disks coated with magnetic material where binary data is stored in microscopic regions."
Hard Disk Drive,Read Write Head,"A magnetic sensor that moves across disk platters to read and write binary data."
Disk Platters,Magnetic Surface,"The coated surface on a disk platter that stores bits as magnetized regions."
Magnetic Surface,Magnetic Domains,"Tiny magnetic regions on a platter surface with uniform orientation representing stored bits."
Input Output System,IO Controllers,"Specialized circuits that manage communication and data flow between the CPU and external devices."
IO Controllers,USB Controller,"A controller chip that handles communication and data transfer between the computer and USB-connected devices."
Input Output System,Peripheral Devices,"External hardware components that provide input to or receive output from the computer."
Peripheral Devices,Keyboard,"An input device that converts key presses into digital signals for system processing."
Peripheral Devices,Monitor,"An output device that displays visual information produced by the computer."

